label,score,housenumber,id,name,postcode,citycode,x,y,city,context,type,importance,street,lon,lat,full_adress,banId,oldcitycode,oldcity,_type
6 Rue Antonin Georges Belin 95100 Argenteuil,0.7753760042283296,6,95018_0250_00006,6 Rue Antonin Georges Belin,95100,95018,645045.35,6871877.02,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.78495,Rue Antonin Georges Belin,2.249754,48.944511,6 RUE ANTONIN GEORGES BELIN 95018 ARGENTEUIL,,,,
1 Rue Antonin Georges Belin 95100 Argenteuil,0.7753760042283296,1,95018_0250_00001,1 Rue Antonin Georges Belin,95100,95018,645062.92,6871829.36,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.78495,Rue Antonin Georges Belin,2.25,48.944084,1 RUE ANTONIN GEORGES BELIN 95018 ARGENTEUIL,,,,
11 Square Aquitaine 95100 Argenteuil,0.7387148051948053,11,95018_0265_00011,11 Square Aquitaine,95100,95018,643798.56,6872040.46,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.66872,Square Aquitaine,2.232712,48.945873,11 SQUARE AQUITAINE 95018 ARGENTEUIL,,,,address
6 Square Aquitaine 95100 Argenteuil,0.7345895187165775,6,95018_0265_00006,6 Square Aquitaine,95100,95018,643714.67,6871994.24,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.66872,Square Aquitaine,2.231573,48.94545,6 SQUARE AQUITAINE 95018 ARGENTEUIL,,,,
4 Square Aquitaine 95100 Argenteuil,0.7345895187165775,4,95018_0265_00004,4 Square Aquitaine,95100,95018,643725.92,6871998.8,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.66872,Square Aquitaine,2.231726,48.945492,4 SQUARE AQUITAINE 95018 ARGENTEUIL,,,,
15 Allee Auguste Renoir 95100 Argenteuil,0.7512576923076922,15,95018_0405_00015,15 Allee Auguste Renoir,95100,95018,643626.81,6873095.29,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.64845,Allee Auguste Renoir,2.230227,48.955343,15 ALLEE AUGUSTE RENOIR 95018 ARGENTEUIL,,,,
21 Rue Baratier 95100 Argenteuil,0.7267904105571847,21,95018_0510_00021,21 Rue Baratier,95100,95018,643770.67,6871032.85,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.73663,Rue Baratier,2.232465,48.93681,21 RUE BARATIER 95018 ARGENTEUIL,,,,
17 Rue Baratier 95100 Argenteuil,0.7267904105571847,17,95018_0510_00017,17 Rue Baratier,95100,95018,643781.19,6871015.18,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.73663,Rue Baratier,2.232611,48.936652,17 RUE BARATIER 95018 ARGENTEUIL,,,,
101bis Rue Baratier 95100 Argenteuil,0.6197919164619164,101bis,95018_0510_00101_bis,101bis Rue Baratier,95100,95018,643902.58,6870794.7,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.73663,Rue Baratier,2.234297,48.93468,101 B RUE BARATIER 95018 ARGENTEUIL,,,,
6 Allee Beethoven 95100 Argenteuil,0.7259214876033059,6,95018_0605_00006,6 Allee Beethoven,95100,95018,642727.46,6872971.68,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.6215,Allee Beethoven,2.217964,48.954152,6 ALLEE BEETHOVEN 95018 ARGENTEUIL,,,,
11 Rue d’Arras 95100 Argenteuil,0.7131,11,95018_0330_00011,11 Rue d’Arras,95100,95018,647371.49,6873413.09,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.6441,Rue d’Arras,2.281318,48.958518,11 RUE D ARRAS 95018 ARGENTEUIL,,,,
1 Rue d’Arras 95100 Argenteuil,0.7074573667711599,1,95018_0330_00001,1 Rue d’Arras,95100,95018,647451.18,6873430.27,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.6441,Rue d’Arras,2.282404,48.958679,1 RUE D ARRAS 95018 ARGENTEUIL,,,,
75 Rue d’Ascq 95100 Argenteuil,0.7163610031347963,75,95018_0360_00075,75 Rue d’Ascq,95100,95018,643380.17,6872365.05,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.74204,Rue d’Ascq,2.226957,48.948755,75 RUE D ASCQ 95018 ARGENTEUIL,,,,
73 Rue d’Ascq 95100 Argenteuil,0.7163610031347963,73,95018_0360_00073,73 Rue d’Ascq,95100,95018,643382.84,6872353.68,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.74204,Rue d’Ascq,2.226995,48.948653,73 RUE D ASCQ 95018 ARGENTEUIL,,,,
318 Route d’Enghien 95100 Argenteuil,0.7435375324675325,318,95018_1920_00318,318 Route d’Enghien,95100,95018,647639.99,6873229.83,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.72177,Route d’Enghien,2.285007,48.956892,318 ROUTE D ENGHIEN 95018 ARGENTEUIL,,,,
Rue d’Epinay 95100 Argenteuil,0.6191254545454545,,95018_1940,Rue d’Epinay,95100,95018,646962.74,6872579.08,Argenteuil,"95, Val-d'Oise, Île-de-France",street,0.81038,Rue d’Epinay,2.275841,48.950985,56 B RUE D EPINAY 95018 ARGENTEUIL,,,,
22 Rue de Balmont 95100 Argenteuil,0.7323823966942149,22,95018_0470_00022,22 Rue de Balmont,95100,95018,646952.98,6872752.33,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.69257,Rue de Balmont,2.275686,48.952542,22 RUE DE BALMONT 95018 ARGENTEUIL,,,,
8 Rue de Calais 95100 Argenteuil,0.7301622287390029,8,95018_0950_00008,8 Rue de Calais,95100,95018,644856.77,6871690.09,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.77372,Rue de Calais,2.247204,48.942814,8 RUE DE CALAIS 95018 ARGENTEUIL,,,,
6 Rue de Calais 95100 Argenteuil,0.7301622287390029,6,95018_0950_00006,6 Rue de Calais,95100,95018,644858.73,6871687.51,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.77372,Rue de Calais,2.247231,48.942791,6 RUE DE CALAIS 95018 ARGENTEUIL,,,,
9 Rue de Coudray 95100 Argenteuil,0.72503,9,95018_1540_00009,9 Rue de Coudray,95100,95018,643738.09,6873015.81,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.66283,Rue de Coudray,2.231757,48.954638,9 RUE DE COUDRAY 95018 ARGENTEUIL,,,,
13 Rue de Diane 95100 Argenteuil,0.7222885923753665,13,95018_1720_00013,13 Rue de Diane,95100,95018,645548.78,6871973.46,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.68711,Rue de Diane,2.256614,48.945421,13 RUE DE DIANE 95018 ARGENTEUIL,,,,
4bis Rue de Diane 95100 Argenteuil,0.6249645454545454,4bis,95018_1720_00004_bis,4bis Rue de Diane,95100,95018,645586.75,6871930.06,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.68711,Rue de Diane,2.257138,48.945034,4 B RUE DE DIANE 95018 ARGENTEUIL,,,,
Allee de l’Ecureuil 95100 Argenteuil,0.6752073684210526,,95018_1875,Allee de l’Ecureuil,95100,95018,642963.28,6872732.25,Argenteuil,"95, Val-d'Oise, Île-de-France",street,0.55886,Allee de l’Ecureuil,2.221216,48.95202,11 ALLEE DE L ECUREUIL 95018 ARGENTEUIL,,,,
Allee de l’Ecureuil 95100 Argenteuil,0.6920830958230958,,95018_1875,Allee de l’Ecureuil,95100,95018,642963.28,6872732.25,Argenteuil,"95, Val-d'Oise, Île-de-France",street,0.55886,Allee de l’Ecureuil,2.221216,48.95202,3 ALLEE DE L ECUREUIL 95018 ARGENTEUIL,,,,
6 Avenue de l’Espace 95100 Argenteuil,0.7376172727272726,6,95018_2011_00006,6 Avenue de l’Espace,95100,95018,645546.18,6873696.34,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.61379,Avenue de l’Espace,2.256357,48.960913,6 AVENUE DE L ESPACE 95018 ARGENTEUIL,,,,
31 Allee de la Haie Normande 95100 Argenteuil,0.768712479338843,31,95018_2520_00031,31 Allee de la Haie Normande,95100,95018,642991.81,6872936.71,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.68311,Allee de la Haie Normande,2.221578,48.953861,31 ALLEE DE LA HAIE NORMANDE 95018 ARGENTEUIL,,,,
17 Allee de la Haie Normande 95100 Argenteuil,0.768712479338843,17,95018_2520_00017,17 Allee de la Haie Normande,95100,95018,643025.94,6872833.17,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.68311,Allee de la Haie Normande,2.222058,48.952933,17 ALLEE DE LA HAIE NORMANDE 95018 ARGENTEUIL,,,,
7 Allee de la Haie Normande 95100 Argenteuil,0.7661178224101479,7,95018_2520_00007,7 Allee de la Haie Normande,95100,95018,643058.36,6872815.05,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.68311,Allee de la Haie Normande,2.222503,48.952773,7 ALLEE DE LA HAIE NORMANDE 95018 ARGENTEUIL,,,,
38 Rue de la Justice 95100 Argenteuil,0.7486527272727271,38,95018_2920_00038,38 Rue de la Justice,95100,95018,642632.21,6871202.28,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.73518,Rue de la Justice,2.216903,48.938233,38 RUE DE LA JUSTICE 95018 ARGENTEUIL,,,,
7 Rue du Docteur Pierre Rouques 95100 Argenteuil,0.7760194390715668,7,95018_1760_00007,7 Rue du Docteur Pierre Rouques,95100,95018,647620.11,6873493.8,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.68515,Rue du Docteur Pierre Rouques,2.284703,48.959264,7 RUE DU DOCTEUR PIERRE ROUQUES 95018 ARGENTEUIL,,,,
7 Avenue du General de Gaulle 95100 Argenteuil,0.7742463636363637,7,95018_2313_00007,7 Avenue du General de Gaulle,95100,95018,644700.26,6871341.28,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.71671,Avenue du General de Gaulle,2.245113,48.939664,7 AVENUE DU GENERAL DE GAULLE 95018 ARGENTEUIL,,,,
22bis Avenue du General de Gaulle 95100 Argenteuil,0.6958372727272728,22bis,95018_2313_00022_bis,22bis Avenue du General de Gaulle,95100,95018,644636.63,6871596.78,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.71671,Avenue du General de Gaulle,2.244211,48.941956,22 B AVENUE DU GENERAL DE GAULLE 95018 ARGENTEUIL,,,,
185 Boulevard du General Delambre 95100 Argenteuil,0.7883962894248608,185,95018_2310_00185,185 Boulevard du General Delambre,95100,95018,643104.63,6871190.49,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.7744,Boulevard du General Delambre,2.223353,48.938169,185 BOULEVARD DU GENERAL DELAMBRE 95018 ARGENTEUIL,,,,
16 Avenue du Marechal Foch 95100 Argenteuil,0.7679977922077921,16,95018_3400_00016,16 Avenue du Marechal Foch,95100,95018,645482.73,6871999.21,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.73369,Avenue du Marechal Foch,2.255709,48.945647,16 AVENUE DU MARECHAL FOCH 95018 ARGENTEUIL,,,,
103 Avenue du Marechal Joffre 95100 Argenteuil,0.7822600000000001,103,95018_3410_00103,103 Avenue du Marechal Joffre,95100,95018,644277.15,6873473.78,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.80486,Avenue du Marechal Joffre,2.239057,48.958803,103 AVENUE DU MARECHAL JOFFRE 95018 ARGENTEUIL,,,,
2 Allee Emile Kahn 95100 Argenteuil,0.7302967914438503,2,95018_1900_00002,2 Allee Emile Kahn,95100,95018,647714.33,6873343.81,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.6215,Allee Emile Kahn,2.286008,48.957923,2 ALLEE EMILE KAHN 95018 ARGENTEUIL,,,,address
1 Allee Emile Kahn 95100 Argenteuil,0.7302967914438503,1,95018_1900_00001,1 Allee Emile Kahn,95100,95018,647719.12,6873323.42,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.6215,Allee Emile Kahn,2.286076,48.95774,1 ALLEE EMILE KAHN 95018 ARGENTEUIL,,,,
Rue Etienne Bast 95100 Argenteuil,0.6696994805194805,,95018_2020,Rue Etienne Bast,95100,95018,645430.03,6872470.01,Argenteuil,"95, Val-d'Oise, Île-de-France",street,0.68098,Rue Etienne Bast,2.254929,48.949876,31 RUE ETIENNE BAST 95018 ARGENTEUIL,,,,address
88 Boulevard Heloise 95100 Argenteuil,0.7473445454545454,88,95018_2550_00088,88 Boulevard Heloise,95100,95018,644828.49,6871213.72,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.72079,Boulevard Heloise,2.24688,48.938528,88 BOULEVARD HELOISE 95018 ARGENTEUIL,,,,address
28 Boulevard Jean Allemane 95100 Argenteuil,0.7726823376623375,28,95018_2760_00028,28 Boulevard Jean Allemane,95100,95018,645349.84,6872602.66,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.78522,Boulevard Jean Allemane,2.253817,48.951062,28 BOULEVARD JEAN ALLEMANE 95018 ARGENTEUIL,,,,
15 Boulevard Jean Allemane 95100 Argenteuil,0.7726823376623375,15,95018_2760_00015,15 Boulevard Jean Allemane,95100,95018,645331.0,6872516.1,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.78522,Boulevard Jean Allemane,2.253571,48.950282,15 BOULEVARD JEAN ALLEMANE 95018 ARGENTEUIL,,,,address
7 Square Jean Allemane 95100 Argenteuil,0.7454952153110048,7,95018_2759_00007,7 Square Jean Allemane,95100,95018,645298.22,6872899.41,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.6215,Square Jean Allemane,2.253074,48.953726,7 SQUARE JEAN ALLEMANE 95018 ARGENTEUIL,,,,
2 Rue Marinette Revillon 95100 Argenteuil,0.7525618181818182,2,95018_3444_00002,2 Rue Marinette Revillon,95100,95018,645421.78,6871758.46,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.62818,Rue Marinette Revillon,2.254908,48.943477,2 RUE MARINETTE REVILLON 95018 ARGENTEUIL,,,,
2bis Rue Verte 95100 Argenteuil,0.5963074294670845,2bis,95018_5230_00002_bis,2bis Rue Verte,95100,95018,644662.86,6871123.11,Argenteuil,"95, Val-d'Oise, Île-de-France",housenumber,0.66283,Rue Verte,2.244631,48.937699,2 B RUE VERTE 95018 ARGENTEUIL,,,,
2 Rue de Calcinaia 13200 Arles,0.7163136363636364,2,13004_0662_00002,2 Rue de Calcinaia,13200,13004,830325.56,6286861.5,Arles,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",housenumber,0.56695,Rue de Calcinaia,4.615606,43.668792,2 RUE DE CALCINAIA 13004 ARLES,,,,
22 Rue de Cascina 13200 Arles,0.7188585923753664,22,13004_0764_00022,22 Rue de Cascina,13200,13004,830244.13,6286806.7,Arles,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",housenumber,0.64938,Rue de Cascina,4.614583,43.668314,22 RUE DE CASCINA 13004 ARLES,,,,
66 Chemin de Compostelle 13200 Arles,0.7458224880382774,66,13004_0952_00066,66 Chemin de Compostelle,13200,13004,829672.94,6287749.11,Arles,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",housenumber,0.6251,Chemin de Compostelle,4.607742,43.676897,66 CHEMIN DE COMPOSTELLE 13004 ARLES,,,,
5 Rue de Pise 13200 Arles,0.6946390909090909,5,13004_3663_00005,5 Rue de Pise,13200,13004,830264.16,6286742.86,Arles,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",housenumber,0.64103,Rue de Pise,4.614815,43.667736,5 RUE DE PISE 13004 ARLES,,,,
14 Allée des Manades 13200 Arles,0.733914973262032,14,13004_2865_00014,14 Allée des Manades,13200,13004,830705.04,6286185.31,Arles,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",housenumber,0.6613,Allée des Manades,4.620137,43.662639,14 ALLEE DES MANADES 13004 ARLES,,,,
15 Avenue du Président Salvador Allende 13200 Arles,0.7802483704974271,15,13004_3837_00015,15 Avenue du Président Salvador Allende,13200,13004,830275.18,6286981.07,Arles,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",housenumber,0.6016,Avenue du Président Salvador Allende,4.615012,43.669877,15 AVENUE DU PRESIDENT SALVADOR ALLENDE 13004 ARLES,,,,
5 Rue Edmond Audran 13200 Arles,0.7280923966942149,5,13004_1265_00005,5 Rue Edmond Audran,13200,13004,832242.89,6289499.68,Arles,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",housenumber,0.64538,Rue Edmond Audran,4.640047,43.69217,5 RUE EDMOND AUDRAN 13004 ARLES,,,,
5 Rue du Marquis de Baroncelli 13200 Arles,0.7038964462809917,5,13004_3033_00005,5 Rue du Marquis de Baroncelli,13200,13004,832273.02,6287027.92,Arles,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",housenumber,0.58377,Rue du Marquis de Baroncelli,4.639784,43.669928,5 RUE MARQUIS DE BARONCELLI 13004 ARLES,,,,
1 Rue Nungesser et Coli 13200 Arles,0.7360300491400491,1,13004_3290_00001,1 Rue Nungesser et Coli,13200,13004,832090.67,6289558.99,Arles,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",housenumber,0.55579,Rue Nungesser et Coli,4.638175,43.692732,1 RUE NUNGESSER ET COLI 13004 ARLES,,,,
Rue des Chauffours 59280 Armentières,0.6843755502392345,,59017_0370,Rue des Chauffours,59280,59017,692054.48,7065678.03,Armentières,"59, Nord, Hauts-de-France",street,0.65971,Rue des Chauffours,2.887763,50.687865,59 RUE DES CHAUFFOURS 59017 ARMENTIERES,,,,
9 Avenue du President Francois Mitterand 59280 Armentières,0.4247612987012987,9,59017_xhjjym_00009,9 Avenue du President Francois Mitterand,59280,59017,691359.83,7065246.01,Armentières,"59, Nord, Hauts-de-France",housenumber,0.68666,Avenue du President Francois Mitterand,2.87796,50.683979,9 RUE N AV PDT F MITTERRAND 59017 ARMENTIERES,,,,
Rue Raymond Lis 59280 Armentières,0.6347658476658478,,59017_1970,Rue Raymond Lis,59280,59017,691742.43,7066159.0,Armentières,"59, Nord, Hauts-de-France",street,0.6581,Rue Raymond Lis,2.883345,50.692177,11 B RUE RAYMOND LIS 59017 ARMENTIERES,,,,
